Time, Capacity %, Current mA, Voltage mV, Temperature °C
0:00,27,674,3793,29.1
0:07,27,792,3808,29.1
0:12,27,866,3812,29.0
0:18,27,896,3814,29.0
0:24,27,889,3817,29.0
0:30,27,918,3819,28.9
0:42,27,888,3821,28.8
0:48,28,882,3822,28.8
0:54,28,886,3823,28.7
1:06,28,873,3824,28.6
1:12,28,870,3825,28.6
1:18,28,881,3826,28.6
1:24,28,885,3826,28.5
1:30,28,886,3828,28.4
1:48,28,851,3827,28.3
1:54,28,853,3829,28.3
2:06,28,861,3830,28.2
2:12,28,886,3832,28.2
2:18,28,880,3829,28.1
2:24,28,882,3832,28.1
2:30,28,856,3833,28.1
2:36,28,831,3831,28.0
2:42,28,839,3833,28.0
2:54,28,793,3835,27.9
3:00,28,885,3836,27.9
3:12,28,884,3837,27.8
3:24,28,863,3836,27.8
3:30,28,864,3838,27.8
3:36,29,871,3839,27.7
3:48,29,884,3840,27.7
3:54,29,721,3840,27.6
4:06,29,863,3841,27.6
4:18,29,874,3842,27.5
4:36,29,874,3843,27.5
4:42,29,871,3843,27.4
4:48,29,883,3844,27.4
5:00,29,861,3843,27.3
5:06,29,872,3845,27.3
5:18,29,881,3846,27.3
5:24,29,885,3846,27.2
5:42,29,884,3847,27.2
6:00,29,875,3847,27.1
6:06,29,880,3848,27.1
6:24,30,860,3849,27.1
6:30,30,695,3843,27.0
6:42,30,736,3845,27.0
6:48,30,746,3843,27.0
7:00,30,861,3849,27.0
7:06,30,883,3850,27.1
7:18,30,879,3851,27.1
7:24,30,847,3849,27.1
7:30,30,865,3851,27.0
7:42,30,871,3852,27.0
7:48,30,862,3851,27.0
7:54,30,823,3852,27.0
8:12,30,872,3853,26.9
8:24,30,882,3854,26.9
8:54,30,860,3853,26.8
9:00,30,868,3854,26.8
9:06,30,867,3853,26.8
9:18,31,881,3854,26.8
9:24,31,882,3853,26.8
9:30,31,886,3854,26.8
9:36,31,880,3853,26.8
9:42,31,866,3854,26.8
9:48,31,869,3854,26.7
9:54,31,863,3854,26.8
10:00,31,871,3855,26.7
10:06,31,855,3854,26.7
10:12,31,864,3855,26.7
10:18,31,853,3856,26.7
10:24,31,882,3857,26.7
10:30,31,857,3856,26.7
10:36,31,852,3857,26.7
10:42,31,873,3858,26.7
10:54,31,882,3858,26.6
11:06,31,884,3859,26.6
11:24,31,858,3858,26.6
11:30,31,867,3859,26.6
11:42,31,880,3860,26.6
11:54,31,931,3862,26.6
12:00,32,882,3861,26.6
12:06,32,844,3860,26.6
12:24,32,869,3860,26.5
12:30,32,877,3861,26.6
12:36,32,943,3863,26.5
12:42,32,852,3861,26.5
13:12,32,883,3862,26.5
13:24,32,882,3863,26.5
13:48,32,842,3862,26.5
14:00,32,875,3863,26.5
14:06,32,877,3860,26.5
14:12,32,886,3864,26.5
14:30,32,868,3863,26.5
14:36,32,874,3864,26.4
14:42,32,947,3867,26.4
14:48,33,871,3868,26.4
14:54,33,886,3866,26.4
15:00,33,890,3865,26.4
15:06,33,889,3866,26.4
15:12,33,876,3865,26.4
15:24,33,889,3866,26.4
15:30,33,881,3865,26.4
15:42,33,879,3866,26.4
16:12,33,854,3867,26.4
16:18,33,871,3867,26.3
16:24,33,881,3868,26.3
16:36,33,866,3867,26.4
16:42,33,871,3867,26.3
17:00,33,857,3866,26.3
17:06,33,871,3868,26.3
17:18,33,884,3869,26.3
17:36,34,864,3869,26.3
17:54,34,871,3870,26.3
18:24,34,864,3869,26.3
18:30,34,867,3870,26.3
18:36,34,866,3869,26.3
19:06,34,860,3871,26.3
19:12,34,848,3868,26.3
19:18,34,865,3871,26.3
19:30,34,880,3872,26.3
19:48,34,869,3873,26.3
19:54,34,874,3871,26.3
20:00,34,866,3872,26.3
20:06,34,867,3873,26.3
20:12,34,867,3872,26.3
20:18,34,856,3873,26.3
20:24,35,825,3872,26.3
20:30,35,830,3870,26.3
20:37,35,412,3873,26.3
20:43,35,467,3858,26.3
20:49,35,640,3864,26.3
20:55,35,283,3850,26.3
21:01,35,105,3853,26.4
21:07,35,591,3864,26.4
21:14,35,474,3870,26.5
21:19,35,870,3871,26.5
21:25,35,869,3872,26.6
21:31,35,876,3873,26.6
21:37,35,905,3872,26.6
21:43,35,875,3874,26.6
21:55,35,888,3875,26.6
22:02,35,859,3877,26.6
22:08,35,883,3875,26.6
22:38,35,932,3878,26.6
22:44,35,849,3875,26.6
22:50,35,881,3876,26.6
23:02,35,945,3879,26.6
23:08,35,951,3880,26.5
23:14,35,932,3879,26.5
23:20,36,872,3877,26.5
23:32,36,869,3878,26.5
23:44,36,943,3880,26.5
23:50,36,862,3877,26.5
23:56,36,886,3878,26.5
24:14,36,844,3877,26.5
24:20,36,850,3878,26.5
24:26,36,833,3877,26.5
24:32,36,844,3878,26.5
24:38,36,826,3877,26.5
25:02,36,837,3878,26.5
25:08,36,878,3880,26.5
25:14,36,867,3878,26.5
25:26,36,873,3879,26.5
25:38,36,838,3878,26.5
25:50,36,871,3879,26.5
26:02,36,873,3880,26.5
26:14,37,860,3879,26.5
26:20,37,846,3880,26.5
26:32,37,842,3881,26.5
26:38,37,869,3882,26.5
26:44,37,865,3883,26.5
26:56,37,875,3882,26.5
27:02,37,866,3883,26.5
27:08,37,848,3882,26.5
27:20,37,856,3883,26.5
27:32,37,879,3884,26.5
28:14,37,879,3885,26.5
28:38,37,877,3886,26.5
28:44,37,859,3885,26.5
