Time, Capacity %, Current mA, Voltage mV, Temperature °C
0:00,16,-175,3746,27.7
0:05,16,-269,3706,27.7
0:11,16,211,3717,27.7
0:18,16,316,3734,27.7
0:24,16,397,3740,27.9
0:30,16,480,3745,28.0
0:36,16,587,3748,28.0
0:42,16,467,3750,28.1
0:48,16,148,3737,28.2
0:54,16,434,3744,28.3
1:06,16,245,3734,28.4
1:12,16,397,3743,28.5
1:18,16,272,3752,28.6
1:24,16,180,3739,28.7
1:30,16,365,3739,28.8
1:36,16,516,3746,28.9
1:42,16,665,3754,29.0
1:48,16,324,3740,29.1
1:54,16,394,3747,29.2
2:00,16,522,3746,29.2
2:06,16,465,3751,29.3
2:12,16,444,3748,29.4
2:18,16,453,3751,29.4
2:24,17,436,3754,29.5
2:30,17,551,3753,29.6
2:36,17,562,3750,29.6
2:42,17,312,3745,29.7
2:48,17,278,3743,29.8
2:54,17,421,3749,29.9
3:00,17,624,3760,29.9
3:06,17,270,3744,30.0
3:12,17,283,3735,30.1
3:18,17,471,3749,30.1
3:24,17,180,3738,30.2
3:30,17,575,3753,30.3
3:36,17,412,3746,30.4
3:42,17,441,3753,30.5
3:48,17,506,3752,30.5
3:54,17,644,3760,30.5
4:00,17,571,3759,30.6
4:06,17,662,3761,30.6
4:12,17,667,3760,30.7
4:18,17,576,3759,30.7
4:24,17,401,3748,30.7
4:30,17,377,3753,30.7
4:36,17,376,3750,30.7
4:42,17,667,3763,30.7
4:48,17,505,3757,30.7
4:54,17,636,3763,30.7
5:00,17,601,3764,30.8
5:06,17,368,3762,30.8
5:12,17,463,3748,30.8
5:18,17,350,3746,30.9
5:24,17,364,3750,30.9
5:30,17,442,3758,30.9
5:36,17,599,3764,31.0
5:42,17,504,3765,31.0
5:48,17,326,3752,31.1
5:54,17,603,3765,31.1
6:00,17,154,3748,31.1
6:06,17,-114,3737,31.2
6:12,17,147,3753,31.2
6:19,17,626,3765,31.3
6:25,17,854,3773,31.4
6:31,17,834,3775,31.4
6:37,17,892,3776,31.5
6:43,17,892,3777,31.5
6:49,17,861,3776,31.4
6:55,17,874,3778,31.4
7:01,17,891,3779,31.3
7:07,17,885,3779,31.2
7:13,17,887,3781,31.2
7:19,18,884,3781,31.1
7:25,18,890,3782,31.0
7:31,18,873,3782,30.9
7:37,18,879,3783,30.9
7:43,18,880,3784,30.8
7:49,18,885,3784,30.7
7:55,18,893,3785,30.6
8:02,18,193,3759,30.5
8:07,18,71,3758,30.5
8:13,18,335,3750,30.5
8:19,18,368,3770,30.5
8:25,18,398,3763,30.5
8:31,18,598,3764,30.5
8:37,18,683,3776,30.6
8:43,18,484,3765,30.6
8:49,18,451,3764,30.6
8:55,18,732,3778,30.7
9:07,18,335,3761,30.7
9:13,18,599,3775,30.7
9:19,18,409,3779,30.8
9:25,18,260,3761,30.8
9:37,18,193,3761,30.9
9:43,18,468,3774,30.9
9:49,18,553,3776,31.0
9:55,18,597,3773,31.1
10:01,18,705,3778,31.1
10:07,18,461,3773,31.1
10:13,18,553,3768,31.2
10:19,18,684,3780,31.2
10:25,18,383,3769,31.2
10:31,18,448,3776,31.2
10:37,18,691,3781,31.3
10:43,18,386,3769,31.3
10:49,18,661,3778,31.3
10:55,18,464,3770,31.4
11:01,18,153,3762,31.4
11:07,18,302,3769,31.4
11:13,18,286,3768,31.5
11:19,18,193,3766,31.5
11:25,18,565,3769,31.6
11:31,18,696,3780,31.6
11:37,18,707,3781,31.7
11:43,19,481,3774,31.7
11:49,19,472,3776,31.8
11:55,19,698,3781,31.8
12:01,19,461,3773,31.8
12:13,19,664,3782,31.9
12:19,19,730,3783,31.9
12:25,19,333,3770,31.9
12:31,19,703,3783,32.0
12:43,19,506,3770,32.0
12:49,19,555,3782,32.0
12:55,19,559,3778,32.0
13:01,19,502,3784,32.0
13:07,19,436,3783,32.0
13:13,19,675,3784,32.0
13:19,19,449,3780,32.0
13:25,19,631,3782,32.1
13:31,19,502,3780,32.1
13:37,19,669,3782,32.1
