Time, Capacity %, Current mA, Voltage mV, Temperature °C
0:00,21,801,3796,28.4
0:06,21,1527,3806,28.4
0:12,22,1607,3808,28.4
0:18,22,1711,3816,28.4
0:24,22,1693,3818,28.4
0:30,22,1694,3819,28.5
0:36,22,1665,3821,28.5
0:42,22,1658,3822,28.6
0:48,22,1688,3819,28.6
0:54,22,1700,3826,28.7
1:00,22,1615,3825,28.7
1:06,22,1659,3828,28.7
1:12,22,1722,3830,28.8
1:18,22,1643,3828,28.8
1:24,22,1687,3832,28.9
1:30,22,1679,3831,28.9
1:36,22,1574,3833,28.9
1:42,23,1696,3834,28.9
1:48,23,1545,3831,29.0
1:54,23,1670,3834,29.0
2:06,23,1710,3837,29.1
2:12,23,1659,3836,29.1
2:18,23,1599,3836,29.2
2:24,23,1439,3830,29.2
2:30,23,1628,3836,29.2
2:36,23,1635,3838,29.2
2:42,23,1672,3837,29.3
2:48,23,1658,3840,29.3
3:00,23,1657,3842,29.3
3:06,23,1700,3843,29.4
3:12,24,1677,3845,29.4
3:24,24,1677,3846,29.4
3:30,24,1624,3846,29.5
3:36,24,1522,3843,29.5
3:42,24,1667,3847,29.5
3:48,24,1641,3848,29.5
3:54,24,1668,3850,29.6
4:06,24,1672,3851,29.6
4:12,24,1667,3852,29.7
4:18,24,1644,3851,29.7
4:24,24,1662,3852,29.7
4:30,24,1722,3851,29.7
4:42,25,1650,3853,29.8
4:48,25,1620,3854,29.8
4:54,25,1706,3855,29.8
5:00,25,1725,3857,29.8
5:06,25,1717,3858,29.9
5:12,25,1629,3855,29.9
5:18,25,1634,3857,29.9
5:24,25,1659,3859,29.9
5:30,25,1645,3858,29.9
5:36,25,1657,3861,29.9
5:42,25,1638,3861,30.0
5:48,25,864,3834,30.0
5:54,25,843,3830,30.0
6:00,25,856,3830,30.1
6:12,25,857,3830,30.2
6:18,25,851,3828,30.4
6:24,26,858,3828,30.5
6:30,26,1105,3844,30.6
6:36,26,843,3828,30.8
6:42,26,1607,3855,30.9
6:48,26,1502,3856,31.0
6:55,26,1404,3847,31.1
7:01,26,1420,3852,31.2
7:07,26,1431,3852,31.3
7:13,26,1430,3853,31.3
7:19,26,1402,3854,31.3
7:31,26,1417,3854,31.2
7:37,26,1416,3855,31.2
7:43,26,1492,3858,31.2
7:49,26,1425,3856,31.1
8:01,26,1501,3859,31.0
8:07,26,1420,3857,31.0
8:13,27,1411,3857,30.9
8:19,27,1409,3858,30.9
8:31,27,1424,3858,30.8
8:37,27,1427,3859,30.8
8:49,27,1433,3860,30.7
9:07,27,1421,3861,30.6
9:19,27,1417,3862,30.6
9:25,27,1431,3862,30.5
9:37,27,1426,3863,30.5
9:49,27,1409,3863,30.4
9:55,28,1418,3864,30.4
10:13,28,1432,3864,30.3
10:19,28,1435,3866,30.3
10:31,28,1420,3865,30.3
10:37,28,1404,3865,30.2
10:43,28,1418,3866,30.2
10:55,28,1419,3867,30.2
11:01,28,1426,3867,30.1
11:07,28,1420,3868,30.1
11:25,28,1408,3867,30.1
11:31,28,1422,3868,30.1
11:37,29,1428,3869,30.0
11:43,29,1433,3870,30.0
11:55,29,1422,3869,30.0
12:01,29,1427,3871,30.0
12:07,29,1407,3870,29.9
12:19,29,1405,3871,29.9
12:31,29,1430,3872,29.9
12:38,29,675,3858,29.9
12:44,29,1179,3861,29.8
12:50,29,1111,3859,29.8
13:02,29,1146,3864,29.9
13:08,29,1059,3860,29.9
13:14,29,1101,3864,29.9
13:21,29,1129,3870,29.9
13:27,29,1423,3872,30.0
13:33,30,1408,3872,30.0
13:39,30,1416,3873,30.0
13:51,30,1422,3874,30.0
14:03,30,1414,3873,30.0
14:09,30,1415,3874,30.0
14:15,30,1382,3873,30.0
14:21,30,1422,3875,30.0
14:27,30,1411,3875,29.9
14:39,30,1415,3876,29.9
14:45,30,1418,3877,29.9
15:03,30,1413,3877,29.8
15:15,31,1411,3877,29.8
15:21,31,1412,3878,29.8
15:39,31,1414,3879,29.7
15:51,31,1416,3880,29.7
16:15,31,1424,3881,29.6
16:57,32,1407,3882,29.5
17:15,32,1365,3881,29.5
17:21,32,1417,3883,29.5
17:45,32,1411,3884,29.5
17:58,32,1416,3884,29.4
18:04,32,1421,3885,29.4
18:16,32,1404,3886,29.4
18:22,32,1200,3878,29.4
18:34,32,1291,3882,29.4
18:41,32,510,3875,29.4
18:47,33,996,3870,29.4
18:53,33,1137,3875,29.5
18:59,33,1197,3876,29.5
19:05,33,1193,3878,29.5
19:11,33,383,3843,29.6
19:17,33,488,3854,29.6
19:23,33,568,3850,29.6
19:30,33,1118,3881,29.7
19:36,33,1411,3885,29.8
