Time, Capacity %, Current mA, Voltage mV, Temperature °C
0:00,30,497,3771,28.7
0:05,30,1169,3831,28.7
0:11,30,1624,3843,28.8
0:17,30,1213,3849,28.9
0:23,30,1598,3853,29.0
0:29,30,1082,3832,29.1
0:35,30,1446,3851,29.2
0:41,30,1091,3847,29.3
0:47,30,1505,3854,29.4
0:53,30,1386,3858,29.5
0:59,30,1440,3853,29.6
1:05,30,1201,3841,29.7
1:11,30,1142,3842,29.8
1:17,30,1484,3859,29.9
1:23,31,1489,3854,29.9
1:29,31,1525,3862,30.0
1:35,31,1481,3855,30.1
1:41,31,1249,3851,30.2
1:47,31,710,3833,30.3
1:53,31,1382,3857,30.3
1:59,31,1676,3866,30.5
2:05,31,1654,3867,30.6
2:11,31,1665,3867,30.7
2:17,31,1479,3864,30.8
2:23,31,1615,3870,30.9
2:29,31,1381,3859,30.9
2:35,31,1671,3871,31.0
2:41,31,1547,3868,31.1
2:47,31,1689,3875,31.1
2:53,31,1615,3870,31.2
2:59,31,1676,3876,31.2
3:05,32,1531,3858,31.3
3:11,32,1568,3872,31.3
3:17,32,1602,3875,31.4
3:23,32,1510,3862,31.5
3:30,32,1376,3866,31.5
3:36,32,1841,3884,31.6
3:42,32,1845,3884,31.7
3:48,32,1838,3885,31.7
3:54,32,1808,3887,31.7
4:00,32,1805,3886,31.8
4:06,32,1819,3887,31.8
4:12,32,1822,3888,31.8
4:18,32,1838,3889,31.7
4:24,32,1840,3890,31.7
4:30,33,1839,3890,31.7
4:36,33,1837,3891,31.6
4:54,33,1818,3892,31.5
5:00,33,1825,3893,31.5
5:12,33,1836,3894,31.5
5:18,33,1835,3895,31.4
5:42,33,1825,3896,31.3
5:48,34,1780,3893,31.3
5:54,34,1839,3897,31.3
6:06,34,1767,3896,31.2
6:12,34,1838,3898,31.2
6:24,34,1818,3899,31.2
6:30,34,1833,3900,31.2
6:42,34,1829,3901,31.1
6:48,34,1826,3900,31.1
6:54,34,1828,3901,31.1
7:06,35,1809,3901,31.1
7:12,35,1617,3876,31.1
7:18,35,1815,3902,31.1
7:24,35,1828,3902,31.0
7:30,35,1828,3903,31.0
7:36,35,1834,3904,31.0
7:48,35,1813,3903,31.0
7:54,35,1817,3904,31.0
8:00,35,1816,3905,31.0
8:06,35,1787,3904,31.0
8:12,35,1826,3906,31.0
8:24,35,1833,3907,31.0
8:30,36,1452,3894,31.0
8:36,36,1628,3901,31.0
8:42,36,1697,3902,31.0
8:48,36,1662,3901,31.0
8:54,36,1666,3902,31.0
9:00,36,1692,3903,31.0
9:06,36,1800,3906,31.0
9:12,36,1829,3908,31.0
9:18,36,1820,3909,31.1
9:36,36,1794,3910,31.1
9:48,36,1810,3908,31.0
9:54,37,1814,3912,31.0
10:12,37,1826,3913,31.0
10:18,37,1805,3912,31.0
10:24,37,1810,3913,31.0
10:30,37,1816,3914,31.0
10:54,37,1830,3916,31.0
11:06,37,1804,3915,31.0
11:12,38,1811,3916,31.0
11:18,38,1807,3917,31.0
11:24,38,1823,3917,30.9
11:30,38,1824,3918,31.0
11:36,38,1814,3918,30.9
11:54,38,1816,3919,30.9
12:06,38,1793,3920,30.9
12:12,38,1808,3919,30.9
12:18,38,1822,3920,30.9
12:24,38,1826,3921,30.9
12:30,39,1825,3922,30.9
13:00,39,1822,3923,30.9
13:06,39,1909,3925,30.9
13:12,39,1905,3927,30.9
13:18,39,1907,3928,30.9
13:24,39,1766,3921,30.9
13:30,39,1795,3925,30.9
13:36,39,1877,3928,30.9
13:42,39,1803,3925,30.9
