Time, Capacity %, Current mA, Voltage mV, Temperature °C
0:00,12,-948,3692,28.8
0:06,12,988,3728,28.9
0:13,12,1143,3738,29.0
0:19,12,913,3734,29.1
0:25,12,909,3735,29.2
0:31,12,905,3737,29.2
0:37,12,908,3738,29.3
0:43,12,912,3740,29.3
0:55,12,912,3741,29.3
1:07,12,870,3742,29.3
1:13,12,910,3743,29.3
1:19,12,912,3745,29.4
1:25,12,907,3746,29.4
1:31,12,913,3747,29.4
1:49,13,916,3749,29.4
1:55,13,853,3741,29.4
2:01,13,897,3749,29.4
2:07,13,907,3750,29.4
2:13,13,906,3751,29.4
2:25,13,904,3752,29.4
2:43,13,908,3753,29.4
2:49,13,891,3753,29.5
2:55,13,893,3754,29.5
3:01,13,855,3753,29.5
3:07,13,910,3756,29.5
3:25,13,901,3757,29.5
3:37,13,907,3758,29.5
3:49,13,912,3759,29.5
4:01,13,902,3760,29.5
4:07,13,782,3757,29.6
4:13,13,903,3760,29.6
4:19,13,888,3761,29.6
4:31,14,900,3761,29.6
4:37,14,904,3763,29.6
4:43,14,898,3761,29.6
4:49,14,908,3763,29.6
4:55,14,857,3764,29.6
5:01,14,865,3763,29.7
5:07,14,905,3764,29.7
5:19,14,904,3765,29.7
5:25,14,901,3766,29.7
5:31,14,871,3764,29.7
5:37,14,903,3766,29.7
5:43,14,907,3767,29.7
6:01,14,883,3768,29.7
6:19,14,889,3767,29.8
6:25,14,897,3770,29.8
6:31,14,905,3769,29.8
6:37,14,903,3770,29.8
6:43,14,910,3771,29.8
6:55,14,894,3770,29.8
7:01,14,854,3768,29.8
7:07,14,902,3772,29.8
7:13,15,895,3772,29.8
7:19,15,898,3771,29.8
7:25,15,904,3773,29.8
7:37,15,888,3773,29.9
7:49,15,877,3774,29.9
7:55,15,867,3776,29.9
8:01,15,885,3775,29.9
8:25,15,868,3776,29.9
8:43,15,894,3777,29.9
8:55,15,883,3778,29.9
9:01,15,891,3778,30.0
9:13,15,898,3779,30.0
9:19,15,887,3778,30.0
9:25,15,896,3779,30.0
9:31,15,887,3780,30.0
9:49,15,883,3781,30.0
10:01,16,877,3780,30.0
10:07,16,888,3781,30.0
10:13,16,903,3782,30.0
10:25,16,901,3783,30.0
10:37,16,905,3784,30.1
10:55,16,853,3779,30.1
11:01,16,901,3785,30.1
11:25,16,882,3786,30.1
11:31,16,864,3785,30.1
11:37,16,885,3786,30.1
11:49,16,902,3787,30.1
11:55,16,904,3788,30.2
12:13,16,973,3791,30.2
12:19,16,969,3792,30.2
12:25,16,885,3790,30.2
12:43,17,882,3790,30.2
12:55,17,896,3791,30.2
13:07,17,895,3792,30.2
13:13,17,894,3791,30.2
13:19,17,901,3792,30.2
13:25,17,893,3793,30.2
13:31,17,868,3791,30.2
13:37,17,871,3793,30.2
13:43,17,885,3792,30.2
13:49,17,979,3796,30.3
13:55,17,931,3797,30.3
14:07,17,972,3798,30.3
14:19,17,925,3797,30.3
14:55,17,919,3798,30.4
15:13,17,974,3801,30.4
15:25,18,921,3799,30.4
15:31,18,916,3800,30.4
15:55,18,921,3801,30.4
16:01,18,903,3800,30.4
16:07,18,920,3801,30.4
16:13,18,913,3802,30.4
16:37,18,922,3803,30.4
16:43,18,924,3802,30.4
16:49,18,922,3803,30.4
16:55,18,910,3803,30.5
17:07,18,920,3804,30.5
17:19,18,922,3805,30.5
17:49,18,919,3806,30.5
17:55,18,895,3805,30.5
18:02,19,925,3806,30.5
18:14,19,918,3807,30.5
18:32,19,911,3807,30.6
18:38,19,922,3808,30.6
19:08,19,916,3809,30.6
19:26,19,912,3810,30.6
19:38,19,915,3810,30.7
19:44,19,907,3808,30.6
19:50,19,904,3811,30.7
20:38,20,915,3812,30.7
20:44,20,912,3813,30.7
20:50,20,908,3812,30.7
20:56,20,898,3813,30.7
21:08,20,907,3814,30.7
21:14,20,910,3814,30.8
21:20,20,906,3814,30.7
21:26,20,905,3814,30.8
21:38,20,909,3815,30.8
21:56,20,914,3816,30.8
22:02,20,893,3815,30.8
22:08,20,908,3816,30.8
22:20,20,907,3817,30.8
22:50,20,907,3818,30.8
22:56,20,899,3817,30.8
23:02,20,711,3809,30.8
23:08,20,909,3818,30.8
23:14,20,904,3819,30.8
23:20,21,897,3819,30.8
23:26,21,896,3818,30.9
23:32,21,894,3819,30.9
23:50,21,909,3820,30.9
24:14,21,908,3821,30.9
24:20,21,909,3822,30.9
24:26,21,913,3821,30.9
24:32,21,909,3822,30.9
24:44,21,911,3823,30.9
25:08,21,921,3824,30.9
25:14,21,899,3823,30.9
25:20,21,913,3824,30.9
25:26,21,916,3823,30.9
25:32,21,911,3825,30.9
25:38,21,915,3825,31.0
25:50,21,871,3823,31.0
25:56,21,906,3825,31.0
26:02,22,912,3825,31.0
26:08,22,823,3826,31.0
26:26,22,913,3827,31.0
26:32,22,965,3829,31.0
26:50,22,963,3830,31.0
27:02,22,968,3831,31.0
27:14,22,916,3829,31.0
27:32,22,913,3829,30.9
27:38,22,909,3829,31.0
27:44,22,907,3828,30.9
27:50,22,911,3830,31.0
28:14,22,918,3830,30.9
28:20,22,914,3831,30.9
28:26,22,910,3831,31.0
28:38,23,925,3833,31.0
28:44,23,884,3831,31.0
28:56,23,912,3832,31.0
29:14,23,972,3835,31.0
29:32,23,967,3834,31.0
29:38,23,969,3835,31.0
29:44,23,975,3836,31.0
29:50,23,903,3833,31.0
29:56,23,890,3830,30.9
30:02,23,906,3833,30.9
30:08,23,913,3834,30.9
30:26,23,896,3834,31.0
30:32,23,914,3835,30.9
30:38,23,908,3834,30.9
30:44,23,910,3835,30.9
30:56,23,907,3834,31.0
31:02,23,893,3835,30.9
31:08,23,918,3836,30.9
31:14,23,916,3836,31.0
31:20,24,915,3836,31.0
31:32,24,908,3835,31.0
31:38,24,909,3836,31.0
31:50,24,911,3837,31.0
31:56,24,904,3836,31.0
32:08,24,904,3837,31.0
32:32,24,900,3836,31.0
32:38,24,911,3838,31.0
33:08,24,907,3839,31.0
33:26,24,891,3838,31.0
33:50,24,893,3839,31.0
33:56,25,898,3839,31.0
34:02,25,904,3840,31.0
34:26,25,913,3841,31.0
34:32,25,903,3840,31.0
34:38,25,913,3841,31.0
34:44,25,902,3840,31.0
34:50,25,908,3841,31.0
35:44,25,904,3842,31.0
35:56,25,910,3843,31.0
36:44,26,910,3844,31.0
36:50,26,907,3843,31.0
36:56,26,908,3844,31.0
37:02,26,889,3843,31.0
37:14,26,895,3844,31.0
37:26,26,893,3843,31.0
37:32,26,891,3844,31.0
37:44,26,898,3845,31.0
37:56,26,903,3844,31.0
38:02,26,901,3843,31.0
38:08,26,907,3845,31.0
38:26,26,901,3846,31.0
39:14,26,904,3847,31.0
39:26,27,899,3847,30.9
39:50,27,908,3848,30.9
39:56,27,903,3847,30.9
40:02,27,904,3848,30.9
40:20,27,906,3847,30.9
40:26,27,900,3848,30.9
40:32,27,903,3847,30.9
40:38,27,904,3848,30.9
41:02,27,902,3849,30.9
41:20,27,961,3851,30.9
41:26,27,877,3849,30.9
41:50,27,873,3848,30.9
41:56,27,869,3849,30.9
42:02,27,961,3852,30.9
42:08,28,961,3852,30.9
42:14,28,966,3853,30.9
42:26,28,867,3850,30.9
42:32,28,961,3853,30.9
42:38,28,961,3853,30.8
42:50,28,962,3854,30.8
43:14,28,871,3851,30.8
43:26,28,869,3852,30.8
43:32,28,882,3851,30.8
43:44,28,872,3852,30.8
43:50,28,966,3854,30.8
44:02,28,961,3855,30.8
44:20,28,962,3856,30.8
44:32,28,962,3856,30.7
44:38,28,954,3855,30.7
44:44,29,963,3856,30.7
44:50,29,964,3857,30.7
45:02,29,950,3856,30.7
45:14,29,858,3852,30.7
45:20,29,874,3854,30.7
45:44,29,882,3854,30.6
46:08,29,821,3854,30.7
46:14,29,879,3855,30.7
46:32,29,880,3854,30.7
46:38,29,861,3855,30.7
46:56,29,876,3854,30.7
47:02,29,868,3855,30.7
47:26,30,857,3854,30.7
47:32,30,477,3841,30.7
47:38,30,567,3844,30.7
47:44,30,656,3847,30.8
47:50,30,573,3844,30.8
47:56,30,633,3845,30.9
48:02,30,570,3844,30.9
48:08,30,601,3845,31.0
48:14,30,655,3846,31.0
48:20,30,657,3847,31.1
48:32,30,780,3849,31.2
48:38,30,767,3851,31.2
48:50,30,785,3852,31.3
48:56,30,875,3855,31.3
49:08,30,869,3856,31.4
49:26,30,880,3857,31.4
49:44,30,869,3857,31.3
50:14,30,864,3856,31.3
50:20,30,870,3857,31.3
50:38,31,872,3858,31.3
51:08,31,866,3859,31.3
51:14,31,876,3858,31.3
51:20,31,878,3859,31.3
52:14,31,875,3858,31.3
52:20,31,881,3860,31.3
52:32,31,870,3860,31.4
52:38,31,883,3860,31.3
52:44,31,878,3860,31.4
52:50,31,878,3861,31.4
53:20,32,875,3861,31.4
53:50,32,877,3862,31.4
53:56,32,872,3861,31.4
54:02,32,872,3862,31.4
54:27,32,786,3861,31.4
54:39,32,831,3856,31.4
54:45,32,874,3863,31.4
54:51,32,869,3862,31.4
54:57,32,877,3863,31.4
55:03,32,869,3862,31.4
55:09,32,877,3863,31.4
55:45,32,872,3864,31.4
55:57,32,873,3863,31.4
56:09,33,877,3863,31.4
56:15,33,875,3864,31.4
56:33,33,959,3866,31.4
56:39,33,956,3867,31.4
56:57,33,956,3868,31.4
57:03,33,955,3869,31.4
57:33,33,959,3870,31.4
57:39,33,957,3869,31.4
57:45,33,958,3870,31.4
58:03,33,957,3870,31.3
58:09,33,933,3867,31.3
58:15,33,959,3870,31.3
58:27,33,869,3868,31.3
58:33,33,851,3865,31.3
58:39,33,873,3868,31.3
58:45,34,881,3868,31.3
59:03,34,882,3869,31.3
59:09,34,965,3871,31.3
59:15,34,858,3868,31.3
59:21,34,868,3869,31.3
59:27,34,870,3868,31.3
59:39,34,952,3871,31.3
59:45,34,954,3872,31.3
59:57,34,960,3873,31.3
1:00:33,34,874,3870,31.3
1:00:51,34,873,3871,31.3
1:01:03,34,849,3869,31.2
1:01:09,34,868,3871,31.3
1:01:27,35,869,3871,31.3
1:01:39,35,876,3872,31.3
1:02:27,35,879,3873,31.3
1:02:33,35,863,3871,31.3
1:02:39,35,870,3872,31.3
1:02:51,35,869,3873,31.3
1:03:09,35,873,3873,31.4
1:03:39,35,874,3874,31.4
1:04:09,35,851,3871,31.4
1:04:15,36,878,3875,31.4
1:04:51,36,865,3874,31.4
1:04:57,36,875,3875,31.4
1:05:27,36,872,3876,31.4
1:05:39,36,871,3876,31.5
1:05:51,36,866,3877,31.4
1:05:57,36,872,3876,31.5
1:06:09,36,874,3877,31.5
1:06:27,36,875,3878,31.5
1:06:33,36,854,3877,31.5
1:06:45,36,870,3878,31.5
1:07:03,37,870,3878,31.5
1:07:27,37,868,3879,31.5
1:08:09,37,875,3880,31.5
1:08:15,37,858,3880,31.6
1:08:33,37,867,3879,31.6
1:08:39,37,874,3881,31.6
1:08:45,37,862,3880,31.6
1:09:27,37,870,3881,31.6
1:09:45,37,867,3882,31.6
1:09:51,38,870,3882,31.6
1:10:09,38,867,3883,31.6
1:10:15,38,870,3882,31.6
1:10:27,38,862,3883,31.6
1:10:39,38,868,3882,31.6
1:10:45,38,857,3883,31.6
1:11:03,38,876,3884,31.6
1:11:27,38,897,3885,31.6
1:11:33,38,954,3887,31.6
1:11:39,38,954,3888,31.6
1:11:57,38,849,3885,31.6
1:12:03,38,953,3888,31.6
1:12:09,38,460,3866,31.6
1:12:15,38,659,3879,31.6
1:12:21,38,610,3876,31.6
1:12:27,38,723,3882,31.6
1:12:33,38,760,3880,31.6
1:12:40,38,601,3872,31.7
1:12:45,39,716,3881,31.7
1:12:51,39,789,3882,31.8
1:12:57,39,590,3876,31.8
1:13:03,39,863,3885,31.8
