Time, Capacity %, Current mA, Voltage mV, Temperature °C
0:00,27,291,3766,29.3
0:05,27,637,3796,29.3
0:12,27,823,3806,29.3
0:18,27,914,3810,29.4
0:24,27,917,3812,29.5
0:30,27,924,3813,29.5
0:36,27,923,3815,29.5
0:42,27,971,3817,29.5
0:48,27,893,3816,29.6
1:06,27,973,3820,29.6
1:12,27,977,3822,29.6
1:18,27,981,3823,29.6
1:30,27,976,3824,29.6
1:36,27,907,3822,29.6
1:42,27,906,3823,29.6
1:54,27,969,3825,29.7
2:00,27,884,3822,29.7
2:06,27,888,3824,29.7
2:12,27,976,3827,29.7
2:18,27,894,3825,29.7
2:30,28,885,3825,29.7
2:36,28,866,3824,29.7
2:42,28,961,3829,29.7
2:48,28,976,3830,29.7
2:54,28,970,3831,29.7
3:06,28,974,3832,29.7
3:12,28,980,3833,29.7
3:24,28,862,3830,29.7
3:30,28,496,3808,29.7
3:36,28,900,3831,29.7
3:54,28,901,3832,29.7
4:00,28,846,3830,29.7
4:06,28,879,3832,29.7
4:12,28,874,3833,29.8
4:24,28,896,3834,29.8
4:30,28,886,3833,29.8
4:36,28,891,3834,29.8
4:48,28,883,3835,29.8
5:06,28,882,3836,29.8
5:12,29,892,3836,29.8
5:24,29,886,3837,29.8
5:30,29,887,3836,29.8
5:36,29,892,3837,29.9
5:42,29,881,3838,29.9
5:54,29,885,3837,29.9
6:00,29,890,3839,29.9
6:06,29,848,3838,29.9
6:12,29,891,3839,29.9
6:24,29,891,3840,29.9
6:30,29,871,3839,29.9
6:36,29,883,3841,29.9
6:54,29,887,3840,29.9
7:00,29,890,3842,30.0
7:30,29,854,3840,30.0
7:36,29,891,3843,30.0
7:48,29,887,3844,30.0
8:00,30,886,3844,30.0
8:06,30,778,3841,30.1
8:12,30,882,3844,30.1
8:18,30,886,3845,30.1
8:30,30,873,3844,30.1
8:36,30,888,3846,30.1
8:54,30,889,3847,30.1
9:00,30,878,3846,30.1
9:06,30,889,3847,30.1
9:12,30,888,3848,30.1
9:30,30,891,3849,30.2
9:36,30,865,3847,30.2
9:48,30,887,3849,30.2
10:30,30,868,3850,30.2
10:42,31,863,3850,30.2
10:54,31,876,3852,30.2
11:00,31,876,3851,30.2
11:12,31,877,3852,30.3
11:18,31,864,3851,30.2
11:24,31,884,3852,30.3
12:00,31,889,3853,30.3
12:18,31,862,3854,30.3
12:36,31,881,3855,30.3
12:42,31,886,3854,30.3
12:54,31,876,3855,30.3
13:00,31,882,3855,30.4
13:12,31,885,3854,30.4
13:18,31,875,3855,30.4
13:30,32,884,3855,30.4
13:42,32,970,3859,30.4
13:48,32,881,3856,30.4
14:00,32,960,3859,30.4
14:06,32,970,3860,30.4
14:30,32,962,3861,30.4
15:00,32,863,3858,30.4
15:12,32,967,3862,30.4
15:24,32,949,3861,30.4
15:30,32,970,3862,30.4
15:36,32,969,3863,30.4
15:48,32,872,3860,30.4
16:00,32,879,3859,30.3
16:06,33,878,3860,30.3
16:12,33,959,3863,30.3
16:18,33,874,3860,30.4
16:36,33,957,3864,30.3
16:42,33,875,3860,30.4
16:48,33,733,3856,30.4
16:54,33,876,3860,30.4
17:00,33,967,3863,30.4
17:06,33,876,3861,30.4
17:24,33,939,3862,30.4
17:30,33,879,3861,30.4
17:42,33,880,3862,30.5
18:07,33,874,3861,30.5
18:13,33,900,3862,30.5
18:19,33,955,3865,30.5
18:25,33,854,3863,30.5
18:43,33,883,3864,30.5
18:49,33,875,3862,30.5
18:55,34,883,3864,30.5
19:01,34,877,3863,30.5
19:07,34,885,3864,30.5
19:37,34,889,3865,30.5
19:43,34,879,3865,30.6
19:55,34,878,3864,30.6
20:01,34,854,3865,30.6
20:13,34,870,3864,30.6
20:25,34,867,3865,30.6
20:31,34,874,3864,30.6
20:37,34,877,3865,30.6
21:01,34,877,3866,30.7
21:31,34,874,3867,30.7
21:37,35,859,3866,30.7
21:43,35,873,3867,30.7
22:07,35,884,3868,30.7
22:13,35,877,3867,30.7
22:26,35,331,3843,30.8
