Time, Capacity %, Current mA, Voltage mV, Temperature °C
0:00,17,-145,3704,31.0
0:06,17,1669,3778,31.0
0:12,17,1343,3773,30.9
0:18,17,1627,3788,31.0
0:24,17,1672,3791,31.0
0:30,17,1588,3790,31.0
0:36,17,1614,3793,31.1
0:42,17,1587,3794,31.1
0:48,17,1626,3799,31.1
0:54,17,1594,3794,31.2
1:00,17,1684,3802,31.2
1:06,18,1688,3805,31.2
1:12,18,1684,3805,31.3
1:18,18,1683,3807,31.3
1:24,18,1648,3806,31.3
1:30,18,1661,3808,31.4
1:36,18,1675,3811,31.4
1:48,18,1676,3812,31.4
1:54,18,1465,3806,31.4
2:00,18,1649,3812,31.5
2:06,18,1660,3810,31.5
2:12,18,1662,3813,31.5
2:18,18,1663,3814,31.5
2:24,18,1625,3815,31.6
2:30,18,1558,3811,31.6
2:36,19,1671,3815,31.6
2:42,19,1705,3821,31.6
2:48,19,1467,3820,31.7
3:00,19,1519,3813,31.7
3:06,19,1535,3815,31.8
3:12,19,1671,3823,31.8
3:18,19,1499,3820,31.8
3:24,19,1436,3815,31.8
3:30,19,1582,3816,31.9
3:36,19,1648,3822,31.9
3:42,19,1665,3825,31.9
3:48,19,1677,3827,32.0
3:54,19,1636,3823,32.0
4:00,19,1486,3816,32.0
4:06,20,1534,3823,32.0
4:12,20,1547,3816,32.1
4:18,20,1645,3828,32.1
4:24,20,1527,3827,32.2
4:30,20,1584,3826,32.2
4:36,20,1552,3831,32.2
4:42,20,1694,3832,32.2
4:48,20,1505,3822,32.3
4:54,20,1507,3832,32.3
5:00,20,1732,3834,32.3
5:06,20,1641,3832,32.4
5:12,20,1456,3828,32.4
5:18,20,1670,3835,32.4
5:30,20,1640,3834,32.4
5:36,20,1671,3835,32.5
5:42,21,1579,3837,32.5
5:48,21,1674,3838,32.5
5:54,21,1589,3832,32.5
6:00,21,1628,3836,32.5
6:06,21,1673,3839,32.5
6:12,21,1670,3840,32.5
6:18,21,1619,3837,32.6
6:24,21,1685,3840,32.6
6:30,21,1555,3835,32.6
6:36,21,1666,3841,32.6
6:42,21,1681,3843,32.6
6:48,21,1648,3842,32.7
6:54,21,1603,3840,32.7
7:00,21,1699,3844,32.7
7:06,22,1534,3838,32.7
7:12,22,1582,3840,32.7
7:24,22,1625,3843,32.7
7:30,22,1580,3841,32.8
7:36,22,1504,3843,32.8
7:48,22,1671,3847,32.9
7:54,22,1679,3848,32.9
8:00,22,1683,3849,32.9
8:06,22,1667,3848,32.9
8:12,22,1570,3849,33.0
8:18,22,1631,3848,33.0
8:24,22,1665,3849,33.0
8:30,22,1670,3850,33.0
8:36,23,1685,3851,33.0
8:42,23,1717,3852,33.0
8:48,23,1631,3852,33.1
9:00,23,1687,3853,33.1
