Time, Capacity %, Current mA, Voltage mV, Temperature °C
0:00,12,-1166,3724,30.4
0:06,12,703,3707,30.5
0:12,12,957,3725,30.5
0:19,12,1006,3733,30.6
0:25,12,918,3728,30.6
0:31,12,907,3730,30.7
0:37,12,910,3731,30.7
0:50,12,904,3732,30.7
0:55,12,908,3733,30.7
1:01,12,916,3734,30.7
1:07,12,906,3735,30.7
1:13,12,898,3734,30.7
1:19,12,912,3736,30.7
1:25,12,881,3735,30.7
1:32,13,918,3737,30.7
1:49,13,907,3738,30.7
1:56,13,917,3739,30.7
2:26,13,903,3740,30.7
2:38,13,893,3741,30.7
2:49,13,919,3742,30.7
3:13,13,897,3743,30.8
3:25,13,902,3744,30.8
3:32,13,911,3745,30.8
3:37,13,900,3746,30.8
3:43,13,895,3745,30.8
3:50,13,899,3746,30.8
3:55,13,903,3747,30.8
4:14,14,899,3747,30.8
4:19,14,902,3748,30.8
4:31,14,912,3749,30.8
4:49,14,908,3750,30.8
5:01,14,914,3752,30.8
5:08,14,896,3751,30.8
5:13,14,910,3752,30.8
5:19,14,907,3753,30.8
5:25,14,909,3753,30.9
5:43,14,887,3754,30.9
5:50,14,877,3755,30.9
6:07,14,899,3756,30.9
6:13,14,908,3755,30.9
6:20,14,910,3757,30.9
6:25,14,893,3758,30.9
6:44,14,912,3759,30.9
6:49,14,894,3757,30.9
6:55,15,913,3759,30.9
7:02,15,905,3760,30.9
7:19,15,895,3759,30.9
7:26,15,910,3761,30.9
7:37,15,906,3762,30.9
7:49,15,910,3763,31.0
8:01,15,884,3761,31.0
8:07,15,906,3765,31.0
8:13,15,909,3764,31.0
8:26,15,911,3766,31.0
8:31,15,908,3765,31.0
8:37,15,904,3766,31.0
8:55,15,907,3767,31.0
9:13,15,909,3768,31.0
9:37,16,894,3769,31.0
9:43,16,907,3770,31.0
10:07,16,910,3772,31.0
10:13,16,987,3774,31.0
10:19,16,894,3772,31.0
10:31,16,916,3773,31.0
10:37,16,992,3776,31.1
10:43,16,911,3774,31.1
10:49,16,916,3773,31.1
10:56,16,916,3774,31.1
11:01,16,881,3771,31.1
11:07,16,904,3774,31.1
11:20,16,913,3776,31.1
11:49,16,909,3777,31.1
11:55,16,914,3778,31.1
12:02,16,893,3776,31.1
12:07,16,907,3778,31.1
12:19,17,911,3779,31.1
12:31,17,895,3778,31.1
12:37,17,906,3779,31.1
12:44,17,903,3780,31.1
12:49,17,897,3779,31.1
12:55,17,903,3780,31.1
13:08,17,895,3781,31.1
13:19,17,907,3782,31.1
13:37,17,879,3783,31.2
13:55,17,907,3784,31.2
14:32,17,907,3785,31.2
14:37,17,890,3786,31.2
14:55,17,906,3787,31.2
15:02,18,901,3787,31.2
15:26,18,896,3788,31.2
15:37,18,889,3789,31.2
15:49,18,904,3790,31.2
16:01,18,879,3788,31.2
16:07,18,893,3790,31.2
16:13,18,899,3791,31.2
16:20,18,904,3790,31.2
16:25,18,897,3791,31.2
16:49,18,897,3792,31.2
17:07,18,865,3790,31.2
17:13,18,893,3793,31.2
17:25,18,896,3794,31.3
17:31,18,898,3794,31.2
17:37,18,879,3794,31.3
17:44,18,886,3795,31.2
17:49,19,893,3795,31.3
17:56,19,459,3776,31.3
18:02,19,490,3774,31.3
18:09,19,639,3783,31.3
18:14,19,891,3794,31.4
18:20,19,900,3795,31.4
18:39,19,896,3796,31.5
18:44,19,976,3799,31.5
18:50,19,900,3797,31.5
19:02,19,844,3795,31.4
19:08,19,903,3798,31.4
19:21,19,870,3795,31.4
19:26,19,885,3799,31.4
19:51,19,903,3800,31.4
20:15,19,892,3800,31.3
20:33,19,895,3801,31.3
20:38,20,894,3801,31.3
20:45,20,387,3773,31.3
20:51,20,350,3789,31.3
20:57,20,525,3776,31.3
21:04,20,869,3799,31.4
21:10,20,884,3801,31.4
21:17,20,898,3802,31.4
21:22,20,900,3802,31.5
21:34,20,886,3803,31.5
21:46,20,884,3804,31.5
21:58,20,975,3807,31.5
22:05,20,852,3805,31.4
22:23,20,980,3808,31.4
22:28,20,973,3809,31.4
22:41,20,737,3806,31.4
23:05,20,904,3808,31.4
23:11,20,883,3808,31.3
23:23,20,900,3809,31.3
23:36,21,907,3809,31.3
23:48,21,910,3810,31.3
24:05,21,907,3811,31.2
24:23,21,916,3812,31.2
24:35,21,917,3799,31.2
24:41,21,918,3813,31.2
24:47,21,971,3815,31.2
24:53,21,961,3814,31.2
25:00,21,977,3816,31.2
25:11,21,900,3815,31.2
25:17,21,905,3814,31.2
25:24,21,907,3814,31.1
25:35,21,899,3815,31.1
25:41,21,978,3817,31.1
25:47,21,911,3815,31.1
25:54,21,913,3816,31.1
25:59,21,898,3814,31.1
26:06,21,918,3817,31.1
26:11,22,916,3817,31.1
26:23,22,909,3816,31.1
26:29,22,917,3817,31.1
26:41,22,913,3818,31.1
26:53,22,910,3819,31.1
27:00,22,890,3818,31.1
27:06,22,509,3812,31.1
27:11,22,747,3813,31.1
27:17,22,680,3809,31.1
27:24,22,695,3805,31.2
27:29,22,907,3816,31.2
27:35,22,913,3818,31.3
27:53,22,910,3819,31.4
27:59,22,895,3817,31.4
28:05,22,915,3820,31.4
28:11,22,915,3821,31.4
28:24,22,913,3822,31.3
28:29,22,384,3821,31.3
28:36,22,895,3822,31.3
28:47,22,902,3823,31.3
28:53,22,913,3822,31.3
28:59,22,914,3823,31.3
29:06,23,917,3824,31.3
29:18,23,905,3823,31.3
29:29,23,909,3824,31.3
29:41,23,910,3825,31.3
29:59,23,918,3826,31.3
30:05,23,913,3826,31.2
30:23,23,918,3827,31.2
30:42,23,616,3806,31.2
30:48,23,675,3815,31.2
30:54,23,908,3826,31.2
31:05,23,918,3826,31.3
31:11,23,916,3827,31.3
31:23,23,908,3828,31.3
31:29,23,906,3827,31.3
31:35,23,918,3828,31.3
31:41,23,887,3829,31.3
31:53,24,904,3829,31.3
31:59,24,913,3830,31.3
