Time, Capacity %, Current mA, Voltage mV, Temperature °C
0:00,19,354,3728,26.6
0:06,19,1586,3799,26.6
0:12,19,1595,3807,26.7
0:20,19,991,3789,26.8
0:27,19,1742,3820,26.9
0:33,19,1843,3823,27.0
0:39,19,1829,3826,27.1
0:46,19,1023,3818,27.2
0:52,19,1288,3802,27.3
0:58,19,1335,3810,27.4
1:04,19,1390,3815,27.5
1:10,19,1348,3813,27.6
1:16,19,1326,3810,27.7
1:22,19,1325,3818,27.9
1:34,19,1473,3815,28.0
1:40,19,1518,3821,28.1
1:47,20,1109,3829,28.2
1:53,20,1821,3836,28.3
1:59,20,1847,3838,28.4
2:05,20,1863,3841,28.4
2:11,20,1856,3843,28.5
2:23,20,1869,3845,28.5
2:29,20,1863,3846,28.6
2:41,20,1867,3847,28.6
2:47,20,1862,3848,28.6
2:59,20,1805,3849,28.6
3:05,21,1840,3850,28.6
3:11,21,1860,3850,28.7
3:17,21,1872,3852,28.7
3:29,21,1862,3854,28.7
3:35,21,1873,3855,28.7
3:48,21,891,3850,28.7
3:54,21,730,3801,28.7
4:00,21,928,3814,28.7
4:06,21,882,3809,28.8
4:12,21,1064,3822,28.8
4:18,21,968,3815,28.9
4:25,21,1069,3830,29.0
4:31,21,1791,3849,29.0
4:37,21,1787,3850,29.1
4:43,22,1798,3853,29.2
4:50,22,1276,3852,29.2
4:56,22,1807,3855,29.3
5:02,22,1815,3856,29.3
5:08,22,1785,3857,29.3
5:14,22,1794,3858,29.3
5:26,22,1811,3861,29.3
5:33,22,674,3847,29.3
5:39,22,746,3816,29.3
5:45,22,869,3823,29.4
5:52,22,1107,3841,29.4
5:58,22,1847,3859,29.5
6:04,22,1849,3860,29.5
6:10,22,1850,3863,29.6
6:16,23,1836,3864,29.6
6:22,23,1863,3865,29.6
6:28,23,1848,3867,29.6
6:34,23,1860,3868,29.6
6:46,23,1833,3869,29.6
6:52,23,1837,3870,29.6
6:58,23,1321,3864,29.5
7:06,23,1304,3858,29.5
7:12,23,1421,3855,29.5
7:30,23,1394,3854,29.4
7:42,24,1417,3855,29.4
7:48,24,1412,3855,29.3
7:54,24,1416,3856,29.3
8:06,24,1416,3857,29.2
8:18,24,1360,3858,29.1
8:24,24,1385,3857,29.1
8:36,24,1413,3859,29.0
8:54,24,1410,3860,29.0
9:00,24,1406,3859,28.9
9:06,24,1397,3860,28.9
9:12,24,1402,3861,28.9
9:18,24,1395,3860,28.9
9:24,25,1415,3862,28.8
9:30,25,1417,3863,28.8
9:42,25,1417,3864,28.8
9:48,25,1403,3864,28.7
9:55,25,575,3828,28.7
10:02,25,912,3855,28.7
10:08,25,1834,3876,28.8
10:14,25,1845,3880,28.8
10:20,25,1794,3879,28.9
10:26,25,1825,3883,28.9
10:38,25,1836,3885,28.9
10:50,25,1836,3886,28.9
10:56,26,1842,3887,28.9
11:08,26,1844,3888,28.9
11:14,26,1850,3889,28.9
11:26,26,1853,3890,28.9
11:38,26,1800,3889,28.9
11:44,26,1785,3887,28.8
11:50,26,1837,3890,28.8
11:56,26,1840,3892,28.8
12:02,26,1844,3891,28.8
12:08,26,1837,3893,28.8
12:14,27,1850,3893,28.8
12:32,27,1831,3894,28.8
12:44,27,1848,3895,28.7
12:50,27,1848,3896,28.7
13:08,27,1831,3897,28.7
13:33,27,1278,3880,28.7
13:40,28,732,3862,28.7
13:46,28,1057,3864,28.7
13:52,28,1163,3871,28.7
13:58,28,736,3850,28.8
14:04,28,879,3852,28.8
14:11,28,1150,3875,28.9
14:18,28,475,3848,29.0
14:25,28,794,3852,29.0
14:31,28,1397,3875,29.1
14:37,28,1403,3876,29.2
14:43,28,1408,3877,29.3
14:49,28,1401,3878,29.3
15:13,28,1400,3879,29.3
15:31,29,1409,3880,29.2
15:55,29,1392,3880,29.1
16:01,29,1398,3881,29.1
16:19,29,1401,3882,29.0
16:31,29,1405,3881,29.0
16:37,29,1407,3882,29.0
16:49,29,1382,3881,29.0
17:01,29,1407,3883,29.0
17:07,29,1391,3883,28.9
17:19,30,1396,3883,28.9
17:25,30,1403,3884,28.9
17:31,30,1395,3883,28.9
17:37,30,1391,3884,28.9
17:55,30,1404,3885,28.8
18:13,30,1368,3884,28.8
18:19,30,1352,3885,28.8
18:25,30,1382,3885,28.7
18:43,30,1404,3886,28.7
18:55,30,1405,3887,28.7
19:01,31,1392,3887,28.6
19:13,31,1389,3886,28.6
19:19,31,1398,3887,28.6
19:25,31,1078,3882,28.6
19:31,31,1266,3883,28.6
19:43,31,1259,3884,28.6
19:49,31,1236,3882,28.6
19:55,31,1253,3883,28.6
20:07,31,1398,3888,28.6
20:19,31,1394,3889,28.6
20:25,31,1399,3888,28.6
20:31,31,1401,3890,28.6
20:49,32,1391,3890,28.6
20:55,32,1403,3891,28.6
21:01,32,1378,3890,28.6
21:07,32,1363,3888,28.6
21:13,32,1403,3892,28.5
21:19,32,1402,3891,28.5
21:25,32,1406,3892,28.5
21:37,32,1391,3891,28.5
21:49,32,1401,3892,28.5
22:01,32,1402,3893,28.5
22:19,32,1373,3893,28.4
22:25,32,1388,3894,28.4
22:31,33,1387,3893,28.4
22:43,33,1386,3894,28.4
22:49,33,786,3885,28.4
22:57,33,1149,3890,28.4
23:03,33,1396,3895,28.4
23:09,33,1380,3894,28.4
23:16,33,1114,3895,28.4
23:29,33,817,3896,28.4
23:35,33,1148,3885,28.4
23:42,33,1015,3883,28.4
23:48,33,1395,3894,28.5
23:54,33,1383,3896,28.5
24:00,33,1371,3895,28.5
24:06,33,1385,3896,28.5
24:12,33,1356,3896,28.6
24:18,33,1380,3897,28.5
24:24,34,1400,3897,28.5
24:30,34,1396,3898,28.5
24:42,34,1360,3896,28.5
24:48,34,1380,3898,28.5
25:12,34,1393,3899,28.5
25:36,34,1384,3900,28.5
25:42,34,1396,3901,28.5
25:54,34,1384,3901,28.4
26:00,34,1396,3902,28.5
26:06,35,1395,3902,28.4
26:12,35,1378,3901,28.4
26:18,35,1365,3902,28.4
26:36,35,1398,3903,28.4
26:48,35,1384,3902,28.4
26:55,35,477,3891,28.4
27:01,35,733,3879,28.4
27:07,35,793,3882,28.4
27:13,35,883,3882,28.5
27:19,35,992,3883,28.6
27:25,35,955,3894,28.7
27:31,35,846,3881,28.8
27:37,35,647,3869,28.8
27:43,35,826,3880,28.9
27:49,35,661,3877,29.1
27:55,35,871,3873,29.2
28:03,35,1036,3897,29.3
28:09,35,1337,3899,29.4
28:15,36,1370,3900,29.5
28:27,36,1384,3900,29.6
28:33,36,1365,3901,29.6
28:39,36,1337,3901,29.5
28:51,36,1350,3902,29.5
28:57,36,1389,3904,29.5
29:03,36,1383,3903,29.5
29:09,36,1389,3904,29.5
29:15,36,1378,3905,29.4
29:21,36,1389,3904,29.4
29:27,36,1370,3905,29.4
29:39,36,1277,3899,29.4
29:45,36,1383,3906,29.3
30:03,37,1388,3907,29.3
30:15,37,1361,3906,29.3
30:21,37,1371,3907,29.2
30:27,37,1101,3904,29.2
30:33,37,1387,3908,29.2
31:15,37,1377,3909,29.1
31:21,37,1388,3910,29.2
31:27,37,1388,3910,29.1
31:39,37,1389,3911,29.1
31:45,37,1370,3910,29.1
31:51,38,1376,3911,29.1
32:03,38,1387,3912,29.1
32:15,38,1379,3911,29.1
32:21,38,1382,3913,29.1
32:27,38,1377,3912,29.1
32:39,38,1365,3915,29.0
32:45,38,1371,3913,29.0
32:51,38,1463,3916,29.0
32:57,38,1450,3917,29.0
33:03,38,1460,3916,29.0
33:09,38,1421,3917,29.0
33:15,38,1379,3914,29.0
33:27,38,1372,3915,29.0
33:33,39,1382,3915,29.0
33:39,39,1385,3914,28.9
33:45,39,1375,3917,29.0
33:51,39,1377,3916,28.9
34:03,39,1377,3917,28.9
34:16,39,819,3905,28.9
34:23,39,1028,3916,28.9
34:29,39,1389,3917,28.9
34:41,39,1379,3918,28.9
34:47,39,1383,3917,28.9
34:53,39,1347,3919,28.9
35:23,40,1380,3920,28.9
35:41,40,1381,3921,28.9
35:47,40,1370,3920,28.9
35:59,40,1375,3921,28.9
36:11,40,1388,3922,28.9
36:23,40,1384,3923,28.9
36:29,40,1384,3922,28.9
36:42,40,996,3902,28.9
36:48,40,1081,3904,28.9
36:54,40,1028,3908,29.0
37:00,40,1075,3910,29.0
37:06,40,1019,3905,29.1
37:12,40,1081,3909,29.1
37:18,41,1088,3911,29.2
37:24,41,1038,3910,29.2
37:30,41,1022,3908,29.3
37:36,41,1055,3909,29.3
37:42,41,1078,3907,29.4
37:48,41,1007,3904,29.4
37:54,41,842,3898,29.5
38:00,41,922,3909,29.5
38:06,41,883,3899,29.6
38:12,41,972,3905,29.6
38:18,41,1041,3908,29.7
38:24,41,1107,3910,29.8
38:30,41,1009,3908,29.8
38:36,41,1025,3909,29.9
38:42,41,1071,3910,29.9
38:48,41,1023,3906,30.0
38:54,41,1055,3910,30.0
39:00,41,926,3904,30.1
39:06,41,681,3902,30.2
39:12,41,966,3895,30.2
39:18,41,1189,3912,30.3
39:24,41,1031,3906,30.3
39:30,41,1070,3907,30.4
39:36,41,832,3900,30.5
39:42,41,1074,3904,30.5
39:48,42,1023,3905,30.6
39:54,42,948,3905,30.7
40:06,42,950,3905,30.8
40:12,42,890,3906,30.9
40:18,42,950,3905,31.0
40:24,42,939,3904,31.1
40:30,42,917,3903,31.2
40:36,42,934,3903,31.3
40:42,42,939,3906,31.4
40:48,42,934,3901,31.4
40:54,42,963,3903,31.5
41:00,42,965,3903,31.6
41:06,42,927,3905,31.6
41:12,42,920,3905,31.7
41:24,42,947,3904,31.8
41:30,42,948,3906,31.8
41:37,42,825,3908,31.8
41:43,42,951,3903,31.9
41:55,42,944,3907,31.9
42:01,42,962,3905,31.9
42:07,42,950,3906,31.9
42:13,42,964,3907,31.9
42:19,43,949,3908,31.9
42:25,43,950,3910,32.0
42:31,43,941,3908,32.0
42:43,43,909,3907,32.0
42:55,43,933,3910,32.0
43:01,43,929,3908,32.0
43:07,43,946,3909,32.0
43:13,43,965,3910,32.1
43:31,43,976,3909,32.1
43:37,43,947,3904,32.1
43:43,43,943,3906,32.2
43:49,43,930,3910,32.2
44:01,43,907,3909,32.2
44:07,43,954,3911,32.3
44:13,43,977,3910,32.3
44:19,43,968,3909,32.4
44:25,43,957,3910,32.4
44:37,43,976,3908,32.5
44:43,43,963,3910,32.5
44:49,43,989,3911,32.6
44:55,44,988,3911,32.6
45:01,44,948,3911,32.7
45:07,44,948,3912,32.7
45:13,44,922,3911,32.8
45:19,44,850,3902,32.8
45:25,44,813,3915,32.9
45:31,44,929,3910,33.0
45:37,44,931,3908,33.0
45:43,44,1066,3914,33.1
45:49,44,886,3910,33.1
45:55,44,924,3911,33.2
46:07,44,961,3912,33.3
46:13,44,918,3913,33.3
46:19,44,890,3909,33.4
46:25,44,951,3911,33.4
46:31,44,905,3910,33.5
46:37,44,1043,3917,33.5
46:43,44,1001,3917,33.6
46:49,44,932,3911,33.6
46:55,44,909,3908,33.6
47:01,44,1206,3920,33.7
47:07,44,921,3910,33.7
47:13,44,1018,3918,33.8
47:19,44,860,3908,33.8
47:25,44,947,3914,33.8
47:31,45,936,3911,33.9
47:37,45,942,3914,33.9
47:43,45,931,3913,33.9
47:49,45,883,3907,34.0
47:55,45,956,3913,34.0
48:01,45,969,3913,34.1
48:07,45,1198,3922,34.1
48:13,45,1259,3924,34.1
48:19,45,1215,3925,34.2
48:25,45,980,3924,34.2
48:31,45,955,3917,34.2
48:37,45,867,3914,34.2
48:43,45,780,3915,34.2
48:49,45,868,3907,34.2
48:55,45,942,3916,34.2
49:01,45,942,3915,34.2
49:13,45,961,3916,34.3
49:19,45,964,3913,34.3
49:25,45,955,3916,34.3
49:31,45,968,3917,34.3
49:37,45,946,3917,34.4
49:49,45,909,3917,34.5
49:55,45,972,3915,34.5
50:01,46,876,3916,34.5
50:07,46,953,3914,34.5
50:13,46,941,3916,34.6
50:19,46,957,3914,34.6
50:25,46,909,3916,34.6
50:31,46,917,3916,34.7
50:37,46,960,3919,34.7
50:43,46,910,3918,34.7
50:55,46,877,3913,34.7
51:01,46,909,3914,34.7
51:07,46,919,3916,34.8
51:13,46,943,3917,34.8
51:19,46,909,3918,34.8
51:31,46,933,3918,34.7
51:37,46,875,3917,34.8
51:43,46,808,3914,34.7
51:49,46,959,3920,34.7
51:55,46,935,3919,34.7
52:07,46,916,3921,34.7
52:13,46,897,3919,34.7
52:19,46,878,3917,34.7
52:25,46,884,3920,34.7
52:31,46,947,3921,34.7
52:37,46,930,3920,34.7
52:43,47,911,3920,34.7
52:49,47,904,3918,34.7
52:55,47,873,3917,34.7
53:01,47,864,3919,34.7
53:07,47,898,3920,34.7
53:19,47,870,3921,34.7
53:37,47,880,3920,34.7
53:43,47,895,3922,34.7
54:01,47,958,3924,34.7
54:07,47,904,3920,34.7
54:13,47,927,3923,34.7
54:19,47,904,3921,34.7
54:25,47,938,3923,34.7
54:31,47,914,3920,34.7
54:37,47,882,3921,34.7
54:49,47,950,3924,34.7
54:55,47,893,3925,34.7
55:07,47,978,3926,34.7
55:13,47,907,3925,34.7
55:25,48,919,3926,34.7
55:31,48,907,3925,34.7
55:43,48,889,3927,34.7
55:55,48,908,3926,34.7
56:01,48,943,3929,34.7
56:07,48,893,3927,34.8
56:13,48,919,3929,34.7
56:19,48,910,3928,34.8
56:37,48,973,3930,34.8
56:43,48,932,3928,34.8
56:49,48,929,3929,34.8
57:01,48,941,3930,34.8
57:07,48,899,3931,34.8
57:13,48,954,3930,34.8
57:19,48,902,3931,34.8
57:25,48,965,3932,34.8
57:31,48,927,3930,34.8
57:43,48,945,3931,34.8
57:49,48,945,3932,34.8
58:01,49,958,3932,34.8
58:07,49,985,3934,34.8
58:13,49,876,3933,34.8
58:19,49,936,3932,34.8
58:25,49,964,3933,34.8
58:31,49,858,3926,34.8
58:37,49,1101,3938,34.8
58:43,49,943,3935,34.8
58:50,49,1317,3946,34.8
58:56,49,1392,3949,34.8
59:03,49,384,3950,34.8
59:09,49,835,3935,34.8
59:15,49,1012,3943,34.7
59:21,49,1010,3942,34.7
59:28,49,1062,3950,34.7
59:34,49,1451,3953,34.7
59:40,49,1361,3953,34.6
59:46,49,1387,3954,34.6
59:53,49,1048,3954,34.5
1:00:05,49,1373,3955,34.4
1:00:11,50,1353,3955,34.4
1:00:17,50,1360,3956,34.3
1:00:23,50,1363,3957,34.3
1:00:29,50,1391,3958,34.2
1:00:35,50,1392,3959,34.1
1:00:41,50,1466,3961,34.1
1:00:47,50,1385,3959,34.0
1:00:53,50,1392,3960,34.0
1:00:59,50,1449,3963,33.9
1:01:11,50,1457,3964,33.8
1:01:17,50,1381,3963,33.8
1:01:23,50,1381,3963,33.7
1:01:29,50,1394,3964,33.7
1:01:35,50,1397,3964,33.6
1:01:41,50,1468,3967,33.6
1:01:47,50,1378,3967,33.5
1:01:53,50,1382,3966,33.5
1:01:59,51,1450,3968,33.4
1:02:05,51,1382,3967,33.4
1:02:11,51,1339,3968,33.3
1:02:17,51,1357,3966,33.3
1:02:23,51,1365,3967,33.2
1:02:36,51,593,3946,33.2
1:02:42,51,795,3940,33.1
1:02:49,51,1067,3950,33.1
1:02:55,51,1387,3968,33.1
1:03:01,51,1386,3969,33.1
1:03:07,51,1356,3970,33.1
1:03:19,51,1343,3971,33.1
1:03:25,51,1375,3971,33.0
1:03:31,51,1373,3972,33.0
1:03:37,51,1374,3973,33.0
1:03:43,51,1386,3974,32.9
1:03:49,52,1385,3974,32.9
1:03:55,52,1388,3975,32.9
1:04:01,52,1388,3975,32.8
1:04:07,52,1383,3976,32.8
1:04:19,52,1368,3976,32.7
1:04:25,52,1376,3977,32.7
1:04:31,52,1381,3978,32.6
1:04:49,52,1385,3980,32.5
1:05:07,52,1376,3981,32.4
1:05:25,52,1383,3982,32.3
1:05:37,53,1383,3982,32.3
1:05:43,53,1381,3983,32.2
1:05:55,53,1376,3984,32.2
1:06:02,53,616,3970,32.1
1:06:08,53,765,3963,32.1
1:06:14,53,529,3950,32.1
1:06:20,53,658,3960,32.1
1:06:26,53,1064,3968,32.2
1:06:32,53,786,3958,32.2
1:06:38,53,865,3959,32.3
1:06:44,53,782,3955,32.4
1:06:50,53,871,3957,32.4
1:06:56,53,726,3954,32.5
1:07:02,53,977,3966,32.6
1:07:08,53,972,3966,32.7
1:07:20,53,847,3962,32.8
1:07:26,53,907,3966,32.9
1:07:32,53,789,3962,33.0
1:07:38,53,777,3965,33.0
1:07:44,53,732,3964,33.1
1:07:50,53,976,3969,33.1
1:07:56,53,701,3958,33.2
1:08:02,53,1185,3976,33.2
1:08:08,53,1161,3975,33.3
1:08:14,54,1177,3974,33.3
1:08:20,54,1182,3976,33.3
1:08:26,54,1188,3979,33.3
1:08:38,54,1186,3980,33.3
1:08:44,54,1234,3982,33.3
1:08:50,54,1158,3981,33.3
1:08:56,54,1177,3982,33.2
1:09:08,54,1188,3981,33.2
1:09:14,54,1237,3984,33.2
