Time, Capacity %, Current mA, Voltage mV, Temperature °C
0:00,22,79,3730,29.8
0:01,22,79,3727,29.8
0:07,22,216,3767,29.9
0:13,22,736,3770,29.9
0:19,22,292,3754,30.0
0:25,22,548,3772,30.2
0:31,22,635,3774,30.2
0:38,22,897,3783,30.3
0:44,22,894,3784,30.4
0:50,22,896,3786,30.4
0:56,22,900,3787,30.4
1:02,22,876,3787,30.5
1:08,23,895,3789,30.5
1:14,23,842,3787,30.5
1:20,23,860,3789,30.5
1:26,23,956,3793,30.5
1:32,23,894,3791,30.5
1:38,23,896,3792,30.5
1:44,23,900,3793,30.5
1:56,23,913,3796,30.4
2:02,23,894,3794,30.4
2:20,23,893,3795,30.4
2:32,23,975,3799,30.4
2:38,23,974,3800,30.4
2:44,23,883,3795,30.4
2:50,23,894,3798,30.4
3:02,23,900,3799,30.4
3:20,23,894,3800,30.4
3:44,23,870,3799,30.4
3:50,24,861,3800,30.4
3:56,24,887,3801,30.4
4:02,24,891,3802,30.4
4:14,24,895,3803,30.4
4:20,24,896,3804,30.4
4:26,24,893,3804,30.5
4:32,24,864,3803,30.5
4:38,24,894,3805,30.5
4:56,24,896,3806,30.5
5:08,24,894,3805,30.5
5:26,24,894,3806,30.5
5:32,24,890,3807,30.5
5:38,24,883,3808,30.5
5:44,24,890,3809,30.5
5:56,24,876,3810,30.5
6:20,24,888,3811,30.5
6:26,24,886,3811,30.6
6:32,24,885,3812,30.6
6:38,25,894,3812,30.6
6:50,25,895,3813,30.6
7:08,25,887,3814,30.6
7:20,25,896,3815,30.6
7:32,25,887,3816,30.6
7:50,25,885,3817,30.6
8:08,25,888,3818,30.7
8:14,25,869,3818,30.6
8:20,25,882,3818,30.7
8:38,25,893,3819,30.7
8:50,25,894,3820,30.7
8:56,25,890,3821,30.7
9:20,26,869,3820,30.7
9:26,26,959,3824,30.7
9:32,26,887,3822,30.7
9:38,26,892,3823,30.7
10:08,26,886,3824,30.7
10:14,26,888,3825,30.8
10:44,26,881,3826,30.8
11:02,26,884,3827,30.8
11:08,26,885,3826,30.8
11:14,26,893,3827,30.8
11:20,26,892,3828,30.8
11:32,26,811,3825,30.8
11:38,26,867,3826,30.8
11:44,26,877,3827,30.8
11:50,26,885,3828,30.8
11:56,26,863,3827,30.8
12:02,26,889,3828,30.8
12:08,27,892,3827,30.8
12:14,27,889,3828,30.8
12:20,27,862,3827,30.8
12:26,27,961,3831,30.8
12:32,27,882,3830,30.8
12:38,27,855,3828,30.8
12:44,27,883,3831,30.8
12:50,27,877,3829,30.8
12:56,27,879,3831,30.8
13:08,27,873,3830,30.8
13:14,27,881,3831,30.8
13:26,27,959,3833,30.8
13:32,27,966,3835,30.8
13:38,27,880,3833,30.8
13:44,27,910,3832,30.8
13:50,27,909,3834,30.8
13:56,27,878,3833,30.8
14:14,27,887,3834,30.7
14:20,27,966,3837,30.7
14:26,27,890,3835,30.7
14:32,27,887,3834,30.7
14:44,27,885,3835,30.7
14:50,28,963,3837,30.7
14:56,28,966,3838,30.7
15:02,28,964,3839,30.7
15:08,28,967,3838,30.7
15:14,28,884,3837,30.7
15:20,28,873,3836,30.7
15:50,28,878,3837,30.7
16:02,28,917,3840,30.7
16:08,28,893,3838,30.7
16:20,28,958,3840,30.7
16:32,28,882,3839,30.7
16:50,28,852,3837,30.7
16:56,28,884,3839,30.7
17:02,28,966,3842,30.7
17:08,28,881,3839,30.7
17:14,28,889,3840,30.7
17:26,28,965,3843,30.7
17:32,29,965,3843,30.7
17:44,29,965,3844,30.7
18:03,29,823,3841,30.7
18:45,29,849,3840,30.7
18:51,29,874,3841,30.7
18:57,29,879,3842,30.7
19:15,29,866,3843,30.7
19:51,29,888,3844,30.7
19:57,29,880,3843,30.7
20:03,29,882,3845,30.7
20:15,30,884,3845,30.8
20:21,30,586,3834,30.7
20:27,30,500,3833,30.8
20:33,30,582,3834,30.8
20:39,30,654,3836,30.8
20:45,30,660,3836,30.9
20:51,30,780,3840,30.9
20:57,30,748,3840,31.0
21:03,30,760,3839,31.0
21:09,30,761,3839,31.1
21:15,30,762,3841,31.1
21:21,30,876,3844,31.1
21:33,30,882,3845,31.2
21:45,30,885,3846,31.2
21:57,30,831,3844,31.2
22:03,30,833,3846,31.2
22:15,30,894,3847,31.2
22:45,30,864,3846,31.2
22:51,30,864,3848,31.2
22:57,30,861,3847,31.1
23:03,30,873,3848,31.1
23:09,30,887,3849,31.1
23:15,31,885,3848,31.1
23:33,31,864,3847,31.1
23:39,31,874,3849,31.1
24:21,31,860,3848,31.1
24:33,31,876,3849,31.1
24:45,31,876,3850,31.1
24:51,31,874,3851,31.1
24:57,31,876,3850,31.1
25:09,31,772,3851,31.1
25:21,31,873,3852,31.1
25:27,31,880,3851,31.1
25:33,31,883,3852,31.1
26:03,32,871,3852,31.1
26:21,32,890,3853,31.1
26:27,32,884,3853,31.2
26:33,32,871,3852,31.2
26:39,32,884,3853,31.2
27:15,32,872,3854,31.2
27:27,32,850,3853,31.2
27:33,32,871,3854,31.2
28:03,32,880,3855,31.2
28:15,32,859,3854,31.2
28:21,32,881,3855,31.2
28:33,32,873,3856,31.2
28:39,32,878,3855,31.2
28:51,33,962,3859,31.2
29:15,33,963,3860,31.2
29:21,33,876,3857,31.2
29:33,33,954,3860,31.2
29:45,33,965,3861,31.2
29:51,33,938,3859,31.2
29:57,33,875,3858,31.2
30:03,33,877,3858,31.1
30:33,33,936,3861,31.1
30:39,33,877,3858,31.1
30:51,33,884,3859,31.1
30:57,33,918,3861,31.1
31:03,33,857,3858,31.1
31:15,33,964,3861,31.2
31:21,33,873,3858,31.2
31:27,34,879,3858,31.2
31:45,34,880,3859,31.2
31:51,34,965,3861,31.2
31:57,34,876,3858,31.2
32:03,34,883,3860,31.2
32:09,34,963,3863,31.2
32:21,34,964,3864,31.2
32:57,34,875,3865,31.2
33:03,34,874,3862,31.1
33:21,34,878,3863,31.1
34:03,34,882,3863,31.2
34:09,35,880,3863,31.2
34:15,35,880,3864,31.2
34:21,35,883,3863,31.2
34:27,35,878,3864,31.2
34:45,35,862,3863,31.2
34:51,35,871,3864,31.2
35:45,35,871,3865,31.2
35:57,35,853,3864,31.2
36:03,35,873,3865,31.2
36:09,35,880,3866,31.2
36:16,35,852,3866,31.3
36:27,35,875,3866,31.2
36:33,35,860,3866,31.3
36:39,35,883,3866,31.2
36:45,35,872,3866,31.3
36:57,36,863,3865,31.3
37:03,36,860,3866,31.3
37:15,36,878,3867,31.3
37:51,36,880,3868,31.3
38:03,36,889,3867,31.3
38:09,36,833,3865,31.3
38:15,36,882,3866,31.3
38:21,36,814,3865,31.3
38:27,36,868,3867,31.3
38:33,36,875,3868,31.3
38:57,36,824,3866,31.3
39:03,36,851,3868,31.3
39:09,36,879,3869,31.3
39:27,36,561,3862,31.3
39:33,36,857,3869,31.3
39:39,36,874,3870,31.3
39:51,37,808,3867,31.3
39:57,37,839,3870,31.3
40:03,37,851,3866,31.3
40:09,37,862,3870,31.2
