Time, Capacity %, Current mA, Voltage mV, Temperature °C
0:00,20,-383,3694,32.1
0:05,20,236,3741,32.1
0:11,20,369,3752,32.2
0:17,20,612,3762,32.3
0:23,20,707,3765,32.3
0:29,20,706,3766,32.3
0:35,20,708,3768,32.4
0:41,21,661,3769,32.4
0:47,21,701,3770,32.3
0:59,21,718,3771,32.3
1:05,21,629,3767,32.2
1:17,21,558,3766,32.2
1:23,21,414,3771,32.1
1:29,21,607,3770,32.1
1:35,21,622,3770,32.0
1:41,21,702,3774,32.0
1:47,21,683,3773,31.9
1:53,21,692,3775,31.9
1:59,21,690,3775,31.8
2:05,21,696,3777,31.8
2:11,21,687,3777,31.7
2:17,21,706,3778,31.7
2:23,21,690,3778,31.6
2:29,21,678,3779,31.6
2:35,21,684,3779,31.5
2:41,21,691,3778,31.5
2:47,21,484,3769,31.4
2:53,21,523,3775,31.4
2:59,21,615,3776,31.4
3:05,21,481,3770,31.4
3:11,21,676,3780,31.4
3:17,21,704,3781,31.3
3:23,21,649,3782,31.3
3:29,21,385,3772,31.3
3:35,21,546,3775,31.3
3:41,21,451,3771,31.3
3:47,21,613,3780,31.3
3:53,21,590,3773,31.3
3:59,21,704,3783,31.3
4:05,21,684,3784,31.2
4:17,21,348,3770,31.2
4:23,21,595,3779,31.2
4:29,21,656,3783,31.1
4:41,22,595,3781,31.1
4:47,22,640,3780,31.0
4:53,22,670,3784,31.0
5:05,22,691,3786,31.0
5:11,22,533,3786,30.9
5:17,22,436,3787,30.9
5:23,22,597,3783,30.9
5:29,22,474,3786,30.8
5:35,22,501,3780,30.8
5:41,22,450,3776,30.8
5:53,22,516,3785,30.8
6:05,22,679,3787,30.8
6:11,22,696,3788,30.8
6:23,22,717,3790,30.7
6:29,22,636,3786,30.7
6:35,22,708,3790,30.7
6:41,22,652,3786,30.7
6:47,22,698,3792,30.6
6:53,22,453,3785,30.6
6:59,22,662,3791,30.6
7:05,22,420,3783,30.5
7:11,22,390,3779,30.5
7:17,22,442,3774,30.5
7:23,22,486,3780,30.5
7:29,22,571,3789,30.5
7:35,22,702,3793,30.5
7:41,22,666,3792,30.5
7:53,22,392,3789,30.5
7:59,22,666,3791,30.5
8:05,22,673,3792,30.5
8:23,22,708,3795,30.5
8:41,22,433,3775,30.4
8:47,22,474,3789,30.4
8:53,23,598,3792,30.4
8:59,23,452,3790,30.4
9:05,23,506,3787,30.4
9:12,23,683,3795,30.5
9:17,23,567,3793,30.5
9:23,23,517,3788,30.5
9:29,23,532,3792,30.5
9:35,23,632,3796,30.5
9:41,23,480,3789,30.5
9:47,23,683,3796,30.5
9:53,23,585,3788,30.5
9:59,23,695,3796,30.5
10:05,23,654,3795,30.5
10:11,23,664,3797,30.5
10:23,23,678,3798,30.5
10:29,23,689,3798,30.4
10:35,23,693,3799,30.4
10:41,23,659,3797,30.4
10:47,23,706,3800,30.4
10:53,23,683,3798,30.4
10:59,23,660,3799,30.4
11:05,23,472,3787,30.4
11:11,23,554,3795,30.4
11:17,23,622,3794,30.3
11:23,23,521,3788,30.3
11:29,23,645,3796,30.3
11:35,23,709,3802,30.3
11:53,23,674,3801,30.3
11:59,23,663,3804,30.3
12:05,23,597,3801,30.3
12:11,23,663,3804,30.3
12:17,23,721,3805,30.3
12:35,23,628,3806,30.3
12:41,24,705,3806,30.3
12:47,24,672,3805,30.3
12:53,24,704,3806,30.2
12:59,24,690,3807,30.2
13:05,24,706,3808,30.2
13:11,24,703,3807,30.2
13:17,24,696,3808,30.2
13:23,24,693,3807,30.2
13:29,24,676,3806,30.2
13:35,24,675,3808,30.1
13:41,24,708,3809,30.1
13:53,24,711,3810,30.1
14:05,24,687,3809,30.1
14:11,24,690,3810,30.1
14:17,24,555,3812,30.1
14:23,24,413,3792,30.1
14:29,24,724,3810,30.1
14:35,24,789,3814,30.1
14:41,24,658,3811,30.1
14:47,24,508,3809,30.1
14:53,24,496,3808,30.1
14:59,24,449,3801,30.1
15:05,24,641,3810,30.1
15:11,24,636,3811,30.1
15:17,24,614,3805,30.1
15:23,24,679,3812,30.1
15:35,24,478,3802,30.1
15:41,24,619,3801,30.1
15:47,24,504,3805,30.1
15:53,24,655,3812,30.2
16:05,24,706,3813,30.2
16:11,24,754,3814,30.2
16:17,24,612,3804,30.2
16:23,24,395,3799,30.2
16:29,25,633,3811,30.2
16:35,25,394,3807,30.2
16:41,25,490,3812,30.2
16:47,25,681,3814,30.2
16:53,25,710,3816,30.2
16:59,25,711,3816,30.3
17:05,25,707,3815,30.3
17:11,25,720,3817,30.2
17:17,25,766,3819,30.2
17:23,25,775,3820,30.2
17:29,25,696,3818,30.2
17:35,25,685,3815,30.2
17:41,25,703,3818,30.2
17:47,25,672,3817,30.2
17:53,25,681,3818,30.1
17:59,25,250,3797,30.1
18:05,25,596,3816,30.1
18:17,25,544,3808,30.1
18:23,25,645,3817,30.1
18:29,25,615,3818,30.2
18:41,25,451,3811,30.2
18:47,25,688,3818,30.2
18:53,25,627,3816,30.2
18:59,25,664,3817,30.2
19:05,25,684,3819,30.2
19:11,25,674,3817,30.2
19:17,25,565,3812,30.2
19:23,25,576,3814,30.2
19:29,25,469,3804,30.2
19:35,25,698,3820,30.2
19:41,25,534,3815,30.2
19:53,25,600,3818,30.2
19:59,25,380,3802,30.2
20:05,25,565,3817,30.2
20:11,25,677,3816,30.2
20:17,25,312,3810,30.2
20:23,25,695,3820,30.3
20:29,25,649,3821,30.3
20:35,26,597,3818,30.3
20:41,26,547,3814,30.3
20:47,26,478,3815,30.3
20:53,26,633,3817,30.3
20:59,26,380,3802,30.3
21:05,26,625,3819,30.3
21:11,26,666,3816,30.3
21:17,26,687,3821,30.3
21:23,26,482,3808,30.4
21:29,26,647,3821,30.3
21:35,26,615,3812,30.4
21:41,26,677,3822,30.4
21:47,26,703,3823,30.4
22:11,26,693,3823,30.3
22:23,26,693,3824,30.3
22:29,26,684,3822,30.3
22:35,26,702,3824,30.3
22:41,26,636,3822,30.3
22:47,26,658,3824,30.3
22:53,26,648,3822,30.2
22:59,26,660,3824,30.2
23:05,26,632,3820,30.2
23:11,26,663,3824,30.2
23:17,26,702,3826,30.2
23:29,26,677,3825,30.2
23:35,26,707,3826,30.2
23:47,26,672,3825,30.2
23:53,26,674,3826,30.1
24:05,26,689,3827,30.1
24:11,26,664,3826,30.1
24:17,27,638,3824,30.1
24:23,27,694,3828,30.1
24:29,27,639,3827,30.1
24:35,27,413,3820,30.1
24:41,27,651,3827,30.1
24:47,27,684,3825,30.1
24:53,27,697,3827,30.1
24:59,27,703,3828,30.1
25:05,27,579,3825,30.1
25:11,27,673,3827,30.1
25:17,27,589,3828,30.1
25:23,27,419,3812,30.1
25:29,27,542,3822,30.1
25:35,27,608,3827,30.1
25:47,27,710,3829,30.1
25:59,27,662,3827,30.1
26:11,27,681,3829,30.1
26:17,27,465,3824,30.1
26:23,27,464,3822,30.1
26:29,27,460,3811,30.1
26:35,27,554,3821,30.1
26:41,27,654,3829,30.1
26:47,27,344,3824,30.2
26:53,27,511,3823,30.2
27:05,27,353,3819,30.2
27:11,27,637,3826,30.2
27:17,27,672,3823,30.2
27:24,27,655,3830,30.2
27:29,27,657,3828,30.2
27:35,27,403,3828,30.3
27:41,27,-7,3801,30.2
27:47,27,488,3822,30.3
27:53,27,701,3829,30.3
27:59,27,457,3826,30.3
28:05,27,521,3829,30.3
28:11,27,535,3827,30.3
28:17,27,572,3830,30.4
28:23,27,591,3828,30.4
28:29,28,618,3829,30.4
28:35,28,768,3832,30.4
28:41,28,454,3824,30.4
28:47,28,416,3815,30.4
28:53,28,448,3829,30.4
28:59,28,679,3830,30.4
29:05,28,712,3831,30.5
29:11,28,713,3832,30.5
29:17,28,693,3831,30.5
29:23,28,694,3832,30.5
29:29,28,359,3822,30.5
29:35,28,668,3821,30.5
29:41,28,675,3830,30.4
29:47,28,700,3832,30.4
29:53,28,520,3826,30.5
29:59,28,606,3828,30.5
30:05,28,503,3815,30.5
30:11,28,644,3828,30.5
30:17,28,668,3829,30.5
30:23,28,489,3825,30.5
30:29,28,588,3826,30.5
30:35,28,644,3830,30.5
30:41,28,689,3833,30.5
30:47,28,521,3824,30.5
30:53,28,626,3830,30.5
30:59,28,693,3832,30.5
31:05,28,471,3827,30.5
31:11,28,695,3832,30.5
31:23,28,276,3831,30.5
31:35,28,74,3804,30.5
31:41,28,469,3822,30.5
31:47,28,667,3833,30.5
31:53,28,681,3834,30.5
32:05,28,523,3832,30.5
32:11,28,271,3830,30.5
32:17,28,501,3822,30.5
32:23,28,258,3811,30.5
32:29,28,303,3816,30.6
32:35,28,259,3820,30.6
32:41,28,397,3820,30.7
32:47,28,224,3817,30.7
32:53,28,3,3807,30.8
32:59,28,3,3811,30.8
33:05,28,3,3807,30.9
33:11,28,403,3822,31.0
33:17,28,324,3818,31.1
33:23,29,304,3819,31.1
33:29,29,525,3825,31.2
33:35,29,134,3820,31.2
33:41,29,536,3829,31.3
33:47,29,618,3828,31.3
33:53,29,682,3831,31.3
33:59,29,699,3833,31.4
34:05,29,660,3831,31.4
