Time, Capacity %, Current mA, Voltage mV, Temperature °C
0:00,37,-81,3842,27.4
0:05,37,676,3836,27.4
0:11,37,714,3840,27.5
0:17,37,699,3842,27.5
0:23,37,487,3843,27.6
0:29,37,656,3847,27.6
0:35,37,444,3841,27.6
0:41,37,503,3838,27.7
0:53,37,612,3845,27.8
0:59,37,286,3827,27.9
1:05,37,186,3836,27.9
1:11,37,472,3837,28.0
1:18,37,803,3854,28.0
1:23,37,903,3857,28.1
1:36,37,256,3823,28.2
1:41,37,468,3844,28.2
1:47,37,455,3842,28.2
1:53,37,495,3853,28.2
2:00,37,554,3852,28.2
2:05,37,592,3847,28.3
2:11,37,624,3848,28.3
2:18,37,814,3858,28.3
2:23,37,879,3859,28.4
2:29,37,849,3860,28.4
2:35,37,858,3858,28.4
2:41,37,890,3863,28.4
2:53,37,878,3864,28.4
3:05,37,883,3865,28.3
3:11,37,863,3864,28.3
3:17,38,858,3865,28.3
3:23,38,888,3866,28.2
3:29,38,878,3864,28.2
3:35,38,860,3866,28.2
3:41,38,840,3867,28.2
3:47,38,875,3867,28.1
3:53,38,893,3868,28.1
3:59,38,873,3869,28.1
4:05,38,860,3867,28.1
4:11,38,891,3870,28.1
4:18,38,485,3843,28.1
4:24,38,686,3861,28.0
4:30,38,534,3856,28.0
4:36,38,677,3860,28.1
4:42,38,676,3861,28.1
4:48,38,641,3858,28.1
4:54,38,496,3857,28.1
5:00,38,365,3836,28.1
5:06,38,674,3859,28.2
5:12,38,684,3862,28.2
5:18,38,612,3856,28.2
5:24,38,582,3855,28.3
5:30,38,598,3859,28.3
5:36,38,606,3858,28.3
5:42,38,614,3858,28.4
5:48,38,573,3854,28.4
5:54,38,654,3860,28.4
6:00,38,581,3858,28.5
6:06,38,569,3860,28.5
6:12,38,676,3861,28.6
6:18,38,358,3855,28.6
6:24,38,634,3857,28.6
6:31,38,796,3867,28.7
6:37,38,885,3870,28.7
6:43,38,885,3871,28.8
6:50,39,305,3840,28.7
6:56,39,780,3870,28.8
7:07,39,797,3869,28.8
7:13,39,868,3873,28.8
7:19,39,840,3872,28.7
7:25,39,870,3873,28.7
7:31,39,860,3874,28.7
7:43,39,869,3874,28.6
7:49,39,873,3875,28.6
8:07,39,864,3876,28.5
8:19,39,851,3877,28.5
8:25,39,875,3876,28.5
8:31,39,868,3877,28.4
8:37,39,854,3876,28.4
8:43,39,917,3877,28.4
8:49,39,851,3875,28.4
8:55,39,869,3878,28.3
9:07,39,812,3877,28.3
